observation,task,batch,cell,source_commit,evaluator_commit,terminal,reward,tests_passed,tests_total,requests,input_tokens,output_tokens,total_tokens,cache_read_tokens,cache_write_tokens,reasoning_tokens,uncached_input_tokens,solve_seconds,native_execution_seconds,verifier_seconds,queue_seconds,observed_oom_events,blocking_polls,nonblocking_polls,nonblocking_logs,recording,archive_readable,cleanup_status,resources_removed,failure_reason,evidence_sha256
historical_candidate,terminal-bench-2.1/compile-compcert,v9,0014,ecf1426a47bf8bbd13b13bd9c47d28b39bdeff05,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,3,3,277,16309026,16507,16325533,13329920,,3020,2979106,2908.656,,1005.1067311270162,1.0949143171310425,7,,,,,True,completed,True,,93543008db563d81f904af8bf064f69d926ec0046c9a5d92ce6541c5d0199a5f
historical_baseline,terminal-bench-2.1/compile-compcert,v9,0015,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,3,3,113,2308484,7256,2315740,1799168,,2256,509316,2906.559,2905.189,993.1116792890243,33.10301433701534,8,,,,,True,completed,True,,7172777388de91ec8fd8842faa5b13e2f5839ce49431e76c19748206777f1d1b
historical_candidate,terminal-bench-2.1/mailman,v9,0022,ecf1426a47bf8bbd13b13bd9c47d28b39bdeff05,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,3,3,183,17612370,63960,17676330,14629760,,29228,2982610,3743.959,,583.2170027280226,63.358752702130005,34,,,,,True,completed,True,,9e0e9a0704d739b678317b31082d5c7577582abc1ba5b9a723de91100aeb2a4e
historical_baseline,terminal-bench-2.1/mailman,v9,0023,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,3,3,53,1215503,8326,1223829,994240,,4417,221263,586.88,585.769,2268.024498175946,19.14787913695909,0,,,,,True,completed,True,,682d0ddf534b6babe4acbffb33b63143426ff23b27422d37796ecf31f53b911e
startup_failure,terminal-bench-2.1/compile-compcert,waiting_prompt_initial,0000,24b0d811637cca39f9531d934dc807739b663e7c,24b0d811637cca39f9531d934dc807739b663e7c,True,,,,0,,,,,,,,,,,14.732821415998842,,,,,,,completed,True,Unable to resolve credential file owner,54f763e95755d5e1faf433c0b40c7fde516f517cc839e77dee94456bb040d209
startup_failure,terminal-bench-2.1/mailman,waiting_prompt_initial,0001,24b0d811637cca39f9531d934dc807739b663e7c,24b0d811637cca39f9531d934dc807739b663e7c,True,,,,0,,,,,,,,,,,1.092118157999721,,,,,,,completed,True,Unable to resolve credential file owner,1b10242832688931d059961b6cff6900280c10453c44a06b2e772ed0b0295317
new_candidate,terminal-bench-2.1/compile-compcert,waiting_prompt_corrected_docker,0000,24b0d811637cca39f9531d934dc807739b663e7c,24b0d811637cca39f9531d934dc807739b663e7c,True,1.0,3,3,53,2304659,9867,2314526,1295872,,4529,1008787,3436.313,3432.638,34.14355830100067,1.0935408099994675,0,11,0,0,complete,True,completed,True,,ba53a41355a98b9eef24d0961cdb437007a961bbeb8195a63b4b884d7b3939bc
new_candidate,terminal-bench-2.1/mailman,waiting_prompt_corrected_docker,0001,24b0d811637cca39f9531d934dc807739b663e7c,24b0d811637cca39f9531d934dc807739b663e7c,True,1.0,3,3,39,1958248,11474,1969722,1489280,,5043,468968,707.36,702.672,61.24254134199964,3.844456666000042,0,0,0,0,partial,True,completed,True,,d4326e06959a2a94b62c001fa9db80411cea5dc6e2e218d1342a0bb966e4ac44
